code,province,city,elementary_school_count,kindergarten_count,university_count,nursing_home_count
10000,Seoul,Seoul,607,830,48,22739
10010,Seoul,Gangnam-gu,33,38,0,3088
10020,Seoul,Gangdong-gu,27,32,0,1023
10030,Seoul,Gangbuk-gu,14,21,0,628
10040,Seoul,Gangseo-gu,36,56,1,1080
10050,Seoul,Gwanak-gu,22,33,1,909
10060,Seoul,Gwangjin-gu,22,33,3,723
10070,Seoul,Guro-gu,26,34,3,741
10080,Seoul,Geumcheon-gu,18,19,0,475
10090,Seoul,Nowon-gu,42,66,6,952
10100,Seoul,Dobong-gu,23,26,1,485
10110,Seoul,Dongdaemun-gu,21,31,4,832
10120,Seoul,Dongjak-gu,21,34,3,762
10130,Seoul,Mapo-gu,22,24,2,929
10140,Seoul,Seodaemun-gu,19,25,6,587
10150,Seoul,Seocho-gu,24,27,1,1465
10160,Seoul,Seongdong-gu,21,30,2,593
10170,Seoul,Seongbuk-gu,29,49,6,729
10180,Seoul,Songpa-gu,40,51,1,1527
10190,Seoul,Yangcheon-gu,30,43,0,816
10200,Seoul,Yeongdeungpo-gu,23,39,0,1001
10210,Seoul,Yongsan-gu,15,13,1,435
10220,Seoul,Eunpyeong-gu,31,44,1,874
10230,Seoul,Jongno-gu,13,17,3,668
10240,Seoul,Jung-gu,12,14,2,728
10250,Seoul,Jungnang-gu,23,31,1,689
11000,Busan,Busan,304,408,22,6752
11010,Busan,Gangseo-gu,17,21,0,147
11020,Busan,Geumjeong-gu,22,28,4,466
11030,Busan,Gijang-gun,21,35,0,229
11040,Busan,Nam-gu,21,27,4,475
11050,Busan,Dong-gu,7,9,0,239
11060,Busan,Dongnae-gu,22,31,0,608
11070,Busan,Busanjin-gu,32,43,3,986
11080,Busan,Buk-gu,27,37,1,465
11090,Busan,Sasang-gu,21,31,3,317
11100,Busan,Saha-gu,26,42,2,541
11110,Busan,Seo-gu,11,9,0,235
11120,Busan,Suyeong-gu,10,22,0,395
11130,Busan,Yeonje-gu,16,18,2,450
11140,Busan,Yeongdo-gu,14,12,2,203
11150,Busan,Jung-gu,4,4,0,182
11160,Busan,Haeundae-gu,33,39,1,814
12000,Daegu,Daegu,229,355,11,5083
12010,Daegu,Nam-gu,11,15,2,345
12020,Daegu,Dalseo-gu,55,78,3,1064
